376 8
 0 0 0 0 1 1 1 2
 2 2 2 2 6 6 2 10
8.573988e-01  2.346751e-09 -1.523052e-02 -1.074481e+00 -1.363004e-01 -1.431576e-02 -1.084982e+00  3.279346e-02 -1.035211e+00
8.708525e-01  1.553933e-09 -1.320667e-02 -1.026720e+00 -1.579976e-01 -1.248832e-02 -1.041464e+00  4.708888e-02 -1.003604e+00
8.869516e-01  9.516698e-10 -1.113567e-02 -9.719473e-01 -1.827589e-01 -1.060657e-02 -9.913876e-01  6.354713e-02 -9.670885e-01
9.059434e-01  5.473854e-10 -9.106623e-03 -9.105882e-01 -2.103182e-01 -8.749078e-03 -9.350486e-01  8.207073e-02 -9.257780e-01
9.280559e-01  3.089635e-10 -7.205892e-03 -8.434481e-01 -2.402136e-01 -6.993515e-03 -8.730704e-01  1.024500e-01 -8.799888e-01
9.534907e-01  1.799343e-10 -5.505611e-03 -7.717041e-01 -2.717862e-01 -5.406651e-03 -8.064036e-01  1.243597e-01 -8.302409e-01
9.824170e-01  1.039473e-10 -4.054751e-03 -6.968583e-01 -3.042001e-01 -4.036131e-03 -7.362938e-01  1.473654e-01 -7.772420e-01
1.014966e+00  4.610428e-11 -2.874740e-03 -6.206479e-01 -3.364818e-01 -2.905934e-03 -6.642157e-01  1.709410e-01 -7.218550e-01
1.051227e+00 -6.069027e-13 -1.960408e-03 -5.449225e-01 -3.675811e-01 -2.016341e-03 -5.917771e-01  1.944974e-01 -6.650499e-01
1.091241e+00 -2.648654e-11 -1.285487e-03 -4.715004e-01 -3.964446e-01 -1.347990e-03 -5.206045e-01  2.174184e-01 -6.078463e-01
