376 3
 0 0 1
 2 2 6
 -3.023473e+01 -1.266050e+00 -4.430563e-01
3.960844e+01  4.540016e-16  2.994520e-11  2.817262e-10
3.971604e+01  4.612760e-16  3.564593e-11  3.719063e-10
3.979960e+01  4.128421e-16  3.469303e-11  3.790786e-10
3.986293e+01  3.343580e-16  2.953997e-11  3.310862e-10
3.990960e+01  2.484478e-16  2.265384e-11  2.578293e-10
3.994290e+01  1.704603e-16  1.586157e-11  1.822673e-10
3.996576e+01  1.080794e-16  1.018865e-11  1.177907e-10
3.998073e+01  6.304369e-17  5.991791e-12  6.953194e-11
3.999000e+01  3.346494e-17  3.196215e-12  3.717412e-11
3.999532e+01  1.584706e-17  1.517748e-12  1.767483e-11
3.999810e+01  6.468348e-18  6.203945e-13  7.229495e-12
3.999937e+01  2.141563e-18  2.055365e-13  2.395842e-12
3.999985e+01  5.116829e-19  4.912079e-14  5.726417e-13
3.999998e+01  6.767758e-20  6.497378e-15  7.574760e-14
4.000000e+01  2.120190e-21  2.035505e-16  2.373039e-15
